,AP_Top1_acid,AP50_Top1_acid,AP75_Top1_acid,AP_Top2_acid,AP50_Top2_acid,AP75_Top2_acid,AP_Top3_acid,AP50_Top3_acid,AP75_Top3_acid,AP_Top5_acid,AP50_Top5_acid,AP75_Top5_acid,AP_Top10_acid,AP50_Top10_acid,AP75_Top10_acid,AP_Top100_acid,AP50_Top100_acid,AP75_Top100_acid,AR_Top1_acid,AR_Top2_acid,AR_Top3_acid,AR_Top5_acid,AR_Top10_acid,AR_Top100_acid,FROC_acid,FROC50_acid,FROC75_acid,iRecall_Top1_acid,iRecall50_Top1_acid,iRecall75_Top1_acid,iRecall_Top2_acid,iRecall50_Top2_acid,iRecall75_Top2_acid,iRecall_Top3_acid,iRecall50_Top3_acid,iRecall75_Top3_acid,iRecall_Top5_acid,iRecall50_Top5_acid,iRecall75_Top5_acid,iRecall_Top10_acid,iRecall50_Top10_acid,iRecall75_Top10_acid,iRecall_Top100_acid,iRecall50_Top100_acid,iRecall75_Top100_acid,AP_Top1_iodine,AP50_Top1_iodine,AP75_Top1_iodine,AP_Top2_iodine,AP50_Top2_iodine,AP75_Top2_iodine,AP_Top3_iodine,AP50_Top3_iodine,AP75_Top3_iodine,AP_Top5_iodine,AP50_Top5_iodine,AP75_Top5_iodine,AP_Top10_iodine,AP50_Top10_iodine,AP75_Top10_iodine,AP_Top100_iodine,AP50_Top100_iodine,AP75_Top100_iodine,AR_Top1_iodine,AR_Top2_iodine,AR_Top3_iodine,AR_Top5_iodine,AR_Top10_iodine,AR_Top100_iodine,FROC_iodine,FROC50_iodine,FROC75_iodine,iRecall_Top1_iodine,iRecall50_Top1_iodine,iRecall75_Top1_iodine,iRecall_Top2_iodine,iRecall50_Top2_iodine,iRecall75_Top2_iodine,iRecall_Top3_iodine,iRecall50_Top3_iodine,iRecall75_Top3_iodine,iRecall_Top5_iodine,iRecall50_Top5_iodine,iRecall75_Top5_iodine,iRecall_Top10_iodine,iRecall50_Top10_iodine,iRecall75_Top10_iodine,iRecall_Top100_iodine,iRecall50_Top100_iodine,iRecall75_Top100_iodine
dual_faster_rcnn_r50_fpn_droi_fpnfusecat_noatt_2x_iodine_hsil,"(12.65941, 16)","(29.53495, 16)","(9.49286, 12)","(15.35294, 16)","(36.60766, 16)","(11.19681, 12)","(16.4933, 16)","(39.49783, 16)","(11.6313, 12)","(17.38884, 16)","(41.9233, 16)","(12.06563, 12)","(17.89178, 16)","(43.4613, 12)","(12.24876, 12)","(17.97889, 12)","(43.81964, 12)","(12.29986, 12)","(20.95796, 16)","(27.86056, 21)","(31.56998, 16)","(35.51889, 16)","(39.16977, 12)","(40.76104, 12)","(25.79107, 16)","(52.43671, 12)","(22.20786, 12)","(29.58678, 16)","(56.64914, 16)","(28.09917, 12)","(35.92787, 21)","(68.29452, 21)","(34.48535, 12)","(39.30879, 16)","(75.20661, 13)","(37.19008, 21)","(42.66717, 16)","(81.06687, 13)","(40.3456, 12)","(45.86777, 12)","(87.30278, 13)","(43.12547, 12)","(47.12246, 12)","(89.40646, 12)","(44.02705, 12)","(13.10084, 17)","(27.70057, 5)","(12.44754, 17)","(16.30877, 17)","(34.75614, 8)","(14.67794, 17)","(17.42179, 17)","(37.32949, 11)","(15.40214, 16)","(18.39558, 11)","(40.07988, 11)","(16.05479, 16)","(19.0162, 11)","(41.61, 11)","(16.26309, 16)","(19.20925, 11)","(42.04345, 11)","(16.25482, 16)","(21.01299, 17)","(28.94026, 16)","(33.02857, 16)","(37.96883, 8)","(42.53506, 8)","(44.54026, 8)","(26.74954, 16)","(50.49351, 11)","(26.32282, 16)","(30.39068, 17)","(53.79414, 5)","(31.85575, 17)","(38.64763, 16)","(68.82044, 8)","(40.3456, 16)","(42.32156, 8)","(75.43201, 11)","(43.57626, 16)","(46.83696, 8)","(83.02029, 8)","(48.00902, 16)","(50.02254, 8)","(89.40646, 5)","(49.96243, 8)","(51.10443, 8)","(91.51014, 5)","(50.56349, 8)"
dual_faster_rcnn_r50_fpn_droi_noatt_2x_acid_hsil,"(13.67042, 16)","(30.22885, 16)","(10.61305, 16)","(16.66794, 16)","(37.83507, 16)","(12.59889, 16)","(17.86927, 16)","(41.18412, 16)","(13.16499, 16)","(18.67116, 16)","(43.20946, 16)","(13.57858, 16)","(19.05216, 16)","(44.19636, 16)","(13.70733, 16)","(19.08891, 16)","(44.23596, 16)","(13.73412, 16)","(21.24002, 16)","(28.60564, 17)","(32.27249, 16)","(36.09899, 9)","(40.85152, 9)","(42.74614, 9)","(26.38714, 16)","(52.58876, 16)","(23.26465, 16)","(29.98497, 16)","(56.64914, 16)","(28.09917, 16)","(36.47633, 17)","(68.7453, 19)","(34.93614, 9)","(39.89482, 16)","(75.28174, 16)","(38.24192, 16)","(43.52367, 9)","(82.64463, 9)","(41.7731, 9)","(47.34786, 9)","(88.95567, 9)","(45.75507, 9)","(48.67769, 9)","(90.90909, 9)","(46.65665, 9)","(12.10931, 16)","(25.85146, 15)","(11.43949, 14)","(15.24738, 16)","(32.93577, 16)","(13.8496, 14)","(16.46236, 16)","(35.84492, 16)","(14.66459, 14)","(17.58174, 14)","(38.28869, 16)","(15.36782, 14)","(18.24448, 14)","(39.9879, 16)","(15.6311, 14)","(18.43094, 14)","(40.39261, 16)","(15.70797, 14)","(20.37403, 16)","(28.4, 18)","(32.66494, 16)","(37.84935, 14)","(42.41558, 14)","(44.65455, 13)","(26.48089, 16)","(49.66976, 16)","(25.6475, 14)","(29.46657, 16)","(52.7423, 12)","(31.10443, 16)","(37.62585, 16)","(67.24267, 16)","(38.54245, 18)","(41.93839, 18)","(74.68069, 18)","(42.37415, 14)","(46.65665, 14)","(82.49437, 14)","(47.2577, 14)","(50.07513, 14)","(88.65515, 13)","(49.8873, 13)","(51.50263, 14)","(91.35988, 6)","(51.5402, 13)"
dual_faster_rcnn_r50_fpn_droi_noatt_2x_iodine_hsil,"(12.5812, 16)","(28.28058, 21)","(10.32078, 16)","(15.74599, 16)","(36.4247, 13)","(12.61037, 16)","(16.96589, 16)","(39.15691, 16)","(13.15495, 16)","(17.86572, 16)","(41.72574, 16)","(13.48828, 16)","(18.32622, 16)","(42.78912, 16)","(13.69274, 16)","(18.38013, 16)","(42.94644, 16)","(13.70674, 16)","(20.77169, 16)","(28.19585, 16)","(32.20862, 16)","(36.14689, 16)","(39.27621, 16)","(40.98457, 5)","(26.21303, 16)","(52.27705, 16)","(23.78165, 16)","(29.32382, 16)","(55.3719, 21)","(28.47483, 16)","(36.07062, 16)","(67.7686, 13)","(35.68745, 16)","(39.90984, 16)","(74.4553, 16)","(38.61758, 16)","(43.20811, 16)","(80.54095, 16)","(41.62284, 16)","(45.89782, 16)","(87.00225, 5)","(44.32757, 16)","(46.88204, 8)","(91.43501, 5)","(44.55297, 16)","(12.9831, 16)","(26.6753, 10)","(12.2277, 16)","(16.02115, 16)","(33.81742, 16)","(14.32278, 16)","(17.38681, 16)","(37.07364, 16)","(15.24981, 16)","(18.54011, 16)","(39.95355, 16)","(15.89327, 16)","(19.12209, 16)","(41.29686, 16)","(16.11758, 16)","(19.13169, 16)","(41.63087, 12)","(16.11059, 16)","(20.84675, 16)","(28.46753, 16)","(32.91429, 16)","(38.40519, 8)","(42.82597, 8)","(44.67013, 5)","(26.99518, 16)","(50.38961, 12)","(26.04824, 16)","(30.15026, 16)","(53.11796, 7)","(31.48009, 16)","(37.76108, 16)","(67.24267, 8)","(38.46732, 16)","(41.9985, 8)","(74.75582, 12)","(42.44929, 16)","(46.77686, 8)","(82.64463, 7)","(46.88204, 8)","(50.1127, 8)","(88.58002, 7)","(49.51165, 8)","(51.24718, 8)","(92.03606, 5)","(50.41322, 9)"
dual_faster_rcnn_r50_fpn_droi_noatt_nooffset_2x_acid_hsil,"(13.10046, 17)","(28.98232, 17)","(10.37936, 11)","(16.71608, 17)","(37.57643, 17)","(12.6678, 17)","(17.79169, 17)","(40.3224, 17)","(13.19529, 11)","(18.6191, 17)","(42.58975, 17)","(13.82359, 11)","(19.0258, 17)","(43.65059, 17)","(14.08753, 11)","(19.05376, 17)","(43.70376, 17)","(14.1265, 11)","(21.17616, 17)","(29.31346, 17)","(32.66631, 17)","(36.46621, 11)","(40.36189, 10)","(42.50133, 15)","(26.89805, 17)","(52.77883, 17)","(24.64837, 11)","(29.89482, 17)","(55.52216, 17)","(29.07588, 17)","(37.5432, 17)","(69.04583, 17)","(36.58903, 20)","(40.58603, 18)","(74.98122, 18)","(39.51916, 11)","(43.87678, 11)","(81.74305, 10)","(43.65139, 11)","(46.90458, 15)","(88.35462, 10)","(46.0556, 11)","(48.61758, 15)","(90.60856, 7)","(46.28099, 11)","(12.8351, 17)","(26.92097, 12)","(11.86228, 17)","(15.92724, 16)","(33.82727, 12)","(14.21802, 16)","(16.98043, 16)","(36.8669, 12)","(14.84569, 16)","(18.0086, 16)","(39.73907, 12)","(15.46578, 16)","(18.69373, 16)","(41.28616, 12)","(15.75579, 16)","(18.81712, 16)","(41.92745, 12)","(15.78893, 16)","(20.9974, 18)","(28.37922, 18)","(32.42597, 18)","(37.36623, 11)","(42.68571, 11)","(47.0961, 15)","(26.39777, 18)","(50.15213, 12)","(25.61039, 16)","(30.36814, 18)","(53.56875, 12)","(31.85575, 18)","(37.74606, 18)","(67.01728, 12)","(39.1435, 16)","(41.63787, 18)","(74.98122, 12)","(42.22389, 18)","(46.00301, 11)","(83.84673, 12)","(46.13073, 16)","(50.25545, 11)","(89.93238, 11)","(49.96243, 13)","(53.05034, 15)","(93.98948, 15)","(51.23967, 13)"
dual_faster_rcnn_r50_fpn_droi_noatt_nooffset_2x_iodine_hsil,"(13.18892, 16)","(29.47057, 12)","(10.4135, 18)","(16.44975, 16)","(37.34694, 16)","(12.59852, 16)","(17.44939, 16)","(40.07752, 16)","(13.20248, 16)","(18.32291, 16)","(42.27794, 16)","(13.60369, 16)","(18.80235, 16)","(43.5306, 16)","(13.75739, 16)","(18.86994, 16)","(43.65229, 16)","(13.77604, 16)","(21.6232, 16)","(29.19638, 16)","(32.55987, 16)","(36.4396, 16)","(39.65939, 12)","(41.41032, 12)","(26.74751, 16)","(52.74842, 16)","(24.03254, 16)","(30.52592, 16)","(56.49887, 16)","(29.30128, 16)","(37.24267, 16)","(68.82044, 16)","(36.36364, 18)","(40.55597, 16)","(74.75582, 16)","(39.44403, 16)","(43.65139, 16)","(81.21713, 9)","(41.9985, 16)","(46.24343, 12)","(87.67844, 9)","(43.72652, 16)","(47.46807, 12)","(90.15778, 8)","(44.47784, 12)","(12.16785, 11)","(25.50848, 12)","(10.9011, 11)","(14.99019, 6)","(31.92319, 6)","(13.24229, 6)","(16.20862, 11)","(34.99619, 11)","(14.09523, 6)","(17.36867, 11)","(37.94375, 12)","(14.69019, 6)","(18.15653, 11)","(39.64786, 12)","(14.97258, 6)","(18.3038, 11)","(39.94349, 12)","(15.04582, 6)","(20.42078, 11)","(28.34286, 16)","(33.05455, 16)","(38.11429, 12)","(43.05974, 13)","(45.34026, 7)","(26.2308, 11)","(49.4026, 12)","(25.39518, 12)","(29.53418, 11)","(52.44177, 11)","(30.35312, 11)","(37.63336, 16)","(67.09241, 16)","(37.716, 11)","(41.93088, 16)","(74.07964, 16)","(43.05034, 12)","(46.85199, 12)","(82.41923, 9)","(48.30954, 12)","(50.56349, 12)","(89.18107, 8)","(51.61533, 12)","(52.18633, 7)","(92.03606, 7)","(51.84072, 12)"
dual_faster_rcnn_r50_fpn_droi_nooffset_2x_acid_hsil,"(13.2526, 17)","(29.30436, 9)","(10.75055, 17)","(16.6933, 17)","(37.16881, 9)","(12.98418, 17)","(17.7577, 17)","(39.78098, 9)","(13.58005, 17)","(18.65416, 17)","(42.35219, 9)","(13.956, 17)","(18.92308, 17)","(43.78837, 9)","(14.10059, 17)","(18.94171, 17)","(44.27314, 9)","(14.09683, 17)","(21.53805, 17)","(29.35072, 17)","(32.90048, 17)","(36.69505, 16)","(41.5487, 11)","(44.39063, 11)","(26.78172, 17)","(52.93089, 9)","(24.10857, 17)","(30.40571, 17)","(55.74756, 9)","(29.52667, 17)","(37.62585, 17)","(69.27122, 17)","(35.83772, 16)","(40.75131, 17)","(75.05635, 6)","(38.91811, 17)","(44.07213, 16)","(82.04358, 11)","(42.29902, 11)","(48.50488, 11)","(89.70699, 11)","(45.8302, 11)","(50.64613, 11)","(92.78738, 11)","(47.78362, 11)","(12.25856, 17)","(25.59617, 12)","(11.03971, 16)","(15.43959, 17)","(32.44587, 12)","(13.51734, 17)","(16.70326, 17)","(35.55675, 12)","(14.2566, 17)","(17.77783, 17)","(38.41189, 12)","(14.88711, 17)","(18.36694, 17)","(40.10506, 12)","(15.1989, 17)","(18.4931, 17)","(40.59495, 13)","(15.23622, 17)","(20.68052, 17)","(28.73247, 17)","(32.94545, 17)","(37.87532, 17)","(42.37922, 13)","(45.09091, 13)","(26.69017, 17)","(49.61781, 13)","(25.64007, 17)","(29.90984, 17)","(52.5169, 17)","(30.95417, 25)","(38.36213, 17)","(66.86702, 17)","(39.89482, 17)","(42.18633, 17)","(74.30503, 12)","(43.35086, 17)","(46.5139, 17)","(82.87002, 12)","(47.2577, 17)","(50.12772, 16)","(89.48159, 13)","(50.48835, 17)","(51.39745, 13)","(92.56198, 10)","(50.86401, 17)"
dual_faster_rcnn_r50_fpn_droi_nooffset_2x_iodone_hsil,"(12.97426, 16)","(30.40165, 16)","(9.81491, 16)","(15.92595, 16)","(37.5507, 16)","(11.78115, 16)","(16.82229, 16)","(40.12208, 17)","(12.29078, 16)","(17.77038, 16)","(42.64121, 16)","(12.64503, 16)","(18.23323, 16)","(43.87275, 16)","(12.81853, 16)","(18.28567, 16)","(44.048, 15)","(12.84122, 16)","(21.16019, 17)","(28.4513, 17)","(31.75625, 17)","(35.77435, 17)","(39.10591, 15)","(42.37892, 11)","(26.09899, 17)","(52.9613, 16)","(22.82369, 17)","(29.87228, 17)","(57.47558, 16)","(28.3997, 18)","(36.09316, 17)","(68.21938, 17)","(34.18482, 18)","(39.12096, 17)","(74.15477, 15)","(37.03982, 18)","(42.94515, 17)","(80.76634, 15)","(40.19534, 17)","(45.66491, 15)","(87.22765, 15)","(42.67468, 15)","(48.44478, 11)","(92.11119, 11)","(44.10218, 11)","(12.54204, 9)","(25.84102, 9)","(11.63199, 9)","(15.58175, 16)","(32.95307, 16)","(13.606, 9)","(16.93699, 9)","(36.2238, 9)","(14.58067, 9)","(18.23501, 9)","(38.91852, 9)","(15.46594, 9)","(18.76572, 9)","(40.46935, 10)","(15.66839, 9)","(18.90804, 9)","(40.79321, 10)","(15.70291, 9)","(20.80519, 16)","(28.71688, 16)","(32.92987, 16)","(38.59221, 9)","(42.61299, 9)","(45.04416, 7)","(26.55807, 9)","(49.81818, 10)","(25.35065, 9)","(30.09016, 16)","(52.66717, 17)","(30.42825, 16)","(37.90383, 16)","(67.31781, 8)","(38.76784, 17)","(41.84072, 9)","(75.50714, 9)","(42.74981, 17)","(47.13749, 9)","(83.24568, 9)","(47.2577, 9)","(50.12021, 9)","(89.2562, 7)","(50.03757, 9)","(51.00676, 9)","(92.41172, 14)","(50.78888, 9)"
faster_rcnn_r50_fpn_2x_acid_hsil,"(12.10737, 18)","(25.75552, 18)","(10.64554, 16)","(15.54282, 16)","(33.98717, 16)","(13.21641, 16)","(16.80443, 16)","(37.16303, 16)","(13.88626, 16)","(17.79382, 16)","(39.62598, 17)","(14.46103, 16)","(18.32223, 16)","(40.88653, 17)","(14.73561, 16)","(18.45974, 16)","(41.24668, 16)","(14.79037, 16)","(21.24002, 16)","(29.62214, 16)","(33.73071, 16)","(38.29697, 16)","(42.12879, 16)","(43.84247, 14)","(27.33597, 16)","(51.72204, 16)","(25.88763, 16)","(29.98497, 16)","(52.7423, 19)","(30.80391, 16)","(37.62585, 16)","(66.79189, 16)","(38.01653, 16)","(41.66792, 16)","(74.4553, 16)","(41.32231, 16)","(45.75507, 16)","(81.29226, 16)","(45.15402, 16)","(49.23366, 16)","(87.45304, 16)","(48.08415, 16)","(50.14275, 16)","(91.8858, 14)","(48.91059, 16)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
faster_rcnn_r50_fpn_2x_lr0.001_acid_hsil,"(12.79913, 16)","(28.49912, 17)","(10.55685, 10)","(16.52303, 16)","(37.61988, 16)","(12.8495, 16)","(17.52875, 16)","(40.25546, 16)","(13.36467, 16)","(18.50663, 16)","(42.7494, 16)","(13.82364, 16)","(18.90436, 16)","(43.74727, 16)","(13.95836, 16)","(18.93914, 16)","(43.85264, 16)","(13.96459, 16)","(21.21341, 17)","(29.33475, 17)","(32.91112, 17)","(36.67908, 16)","(39.81905, 10)","(41.77754, 7)","(26.83114, 16)","(52.87007, 16)","(24.1846, 16)","(29.94741, 17)","(55.3719, 17)","(29.37641, 16)","(37.49812, 17)","(68.82044, 17)","(36.66416, 17)","(40.66867, 17)","(74.38017, 16)","(39.81968, 17)","(44.17731, 16)","(80.9166, 10)","(42.90008, 17)","(46.64914, 10)","(87.22765, 7)","(44.77836, 12)","(47.74606, 7)","(91.58527, 3)","(45.60481, 12)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reppoints_moment_r50_fpn_2x_acid_hsil,"(13.60304, 11)","(30.56346, 11)","(10.8472, 16)","(16.78678, 16)","(38.31629, 11)","(13.40958, 16)","(17.80962, 16)","(40.99132, 11)","(14.03025, 16)","(18.93086, 16)","(43.61606, 11)","(14.69632, 16)","(19.53948, 16)","(45.32193, 11)","(14.99166, 16)","(19.85718, 16)","(46.12601, 11)","(15.09713, 16)","(21.719, 17)","(29.94146, 16)","(33.63491, 16)","(38.50985, 16)","(43.02821, 16)","(49.6115, 15)","(27.66365, 16)","(53.60754, 11)","(25.63674, 16)","(30.66116, 17)","(56.7994, 11)","(30.27799, 19)","(38.76033, 18)","(70.3982, 16)","(38.54245, 18)","(41.95342, 18)","(76.03306, 18)","(41.62284, 19)","(46.24343, 16)","(83.62134, 16)","(45.00376, 16)","(49.84974, 16)","(89.63186, 11)","(49.06086, 19)","(55.33434, 15)","(97.67092, 7)","(53.71901, 15)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
retinanet_r50_fpn_2x_acid_hsil,"(12.66529, 16)","(29.0758, 7)","(10.45524, 16)","(15.93302, 16)","(36.29381, 19)","(12.68919, 16)","(16.93312, 16)","(38.67394, 19)","(13.24827, 16)","(17.89385, 16)","(41.06392, 19)","(13.68936, 16)","(18.58237, 16)","(42.64865, 16)","(13.98288, 16)","(18.8385, 16)","(43.20205, 16)","(14.07188, 16)","(21.22406, 18)","(29.16977, 16)","(32.75146, 16)","(37.21128, 16)","(42.21394, 16)","(50.7983, 7)","(26.80985, 16)","(52.08698, 16)","(24.32905, 16)","(29.96243, 18)","(56.04808, 7)","(29.00075, 17)","(37.81367, 16)","(69.49662, 16)","(36.66416, 16)","(41.142, 16)","(75.43201, 16)","(39.59429, 12)","(45.22164, 16)","(82.19384, 16)","(43.72652, 12)","(49.37641, 8)","(88.65515, 13)","(47.85875, 12)","(55.78512, 8)","(98.64763, 3)","(52.81743, 9)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cascade_rcnn_r50_fpn_2x_iodine_hsil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(13.6838, 16)","(24.32267, 16)","(13.8268, 16)","(17.01033, 16)","(31.36159, 16)","(16.51819, 16)","(18.36224, 16)","(34.31237, 16)","(17.67661, 16)","(19.77421, 16)","(37.13843, 16)","(18.84822, 16)","(20.53299, 16)","(38.7227, 16)","(19.44795, 16)","(20.67709, 16)","(39.03591, 16)","(19.5327, 16)","(22.01558, 16)","(30.81039, 16)","(35.77662, 16)","(42.05195, 16)","(46.9039, 16)","(49.41299, 6)","(29.46865, 16)","(48.77922, 16)","(29.95918, 16)","(31.84072, 16)","(50.86401, 21)","(33.58377, 18)","(41.08189, 16)","(66.19083, 16)","(42.07363, 18)","(45.92787, 16)","(73.47859, 16)","(47.03231, 16)","(51.35237, 16)","(81.44252, 10)","(53.41848, 18)","(55.32682, 16)","(88.20436, 13)","(57.77611, 16)","(56.06311, 16)","(92.18633, 3)","(58.60255, 6)"
cascade_rcnn_r50_fpn_2x_lr0.001_iodine_hsil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(13.20146, 9)","(25.54961, 9)","(13.2977, 7)","(16.79933, 8)","(33.15221, 8)","(15.56932, 7)","(17.85825, 8)","(35.62876, 8)","(16.3222, 7)","(19.0283, 8)","(38.31325, 8)","(17.13209, 7)","(19.74229, 8)","(40.04103, 8)","(17.60019, 7)","(19.9205, 8)","(40.43621, 8)","(17.70185, 7)","(21.70909, 9)","(30.17662, 8)","(34.35325, 8)","(39.84935, 9)","(44.57143, 8)","(46.25455, 11)","(28.02672, 8)","(49.35065, 8)","(27.66605, 7)","(31.39745, 9)","(52.21638, 8)","(33.20811, 7)","(39.81217, 8)","(67.01728, 8)","(41.32231, 8)","(43.77911, 8)","(73.77911, 8)","(45.45455, 7)","(48.77536, 9)","(82.41923, 7)","(50.41322, 8)","(52.21638, 7)","(87.8287, 5)","(54.01953, 7)","(53.46356, 7)","(89.93238, 5)","(55.07137, 7)"
faster_rcnn_r50_fpn_2x_iodine_hsil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(12.56435, 17)","(23.67594, 17)","(12.03584, 17)","(15.41541, 17)","(30.42146, 16)","(14.28555, 17)","(16.82109, 17)","(33.62775, 16)","(15.40825, 17)","(18.13095, 17)","(36.52912, 16)","(16.29362, 17)","(18.94889, 17)","(38.36908, 16)","(16.81315, 17)","(19.08151, 17)","(38.62879, 16)","(16.85774, 17)","(20.99221, 17)","(28.85714, 16)","(33.84935, 16)","(39.8961, 16)","(45.15325, 16)","(47.47013, 10)","(27.80111, 17)","(48.61596, 16)","(27.76994, 17)","(30.36063, 17)","(49.96243, 17)","(31.85575, 17)","(38.26446, 16)","(64.9136, 11)","(39.51916, 19)","(43.33584, 16)","(73.25319, 16)","(44.6281, 17)","(48.96319, 18)","(81.66792, 18)","(50.56349, 20)","(53.2006, 18)","(88.95567, 10)","(55.14651, 17)","(54.30503, 10)","(93.0879, 8)","(56.04808, 17)"
faster_rcnn_r50_fpn_2x_lr0.001_iodine_hsil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(12.09108, 12)","(26.08216, 6)","(11.11147, 11)","(15.11089, 16)","(32.6026, 13)","(13.60404, 19)","(16.35102, 12)","(35.29106, 6)","(14.29769, 19)","(17.48613, 12)","(38.08825, 9)","(14.81801, 19)","(18.27951, 11)","(39.75218, 6)","(15.14139, 15)","(18.55734, 11)","(40.40947, 11)","(15.18333, 15)","(20.38961, 17)","(29.14286, 19)","(33.16883, 16)","(38.44156, 11)","(43.96883, 11)","(47.21558, 11)","(26.56994, 16)","(49.34323, 11)","(25.89981, 16)","(29.48911, 17)","(52.36664, 6)","(31.2547, 19)","(38.37716, 17)","(66.94215, 17)","(40.12021, 19)","(42.14125, 17)","(74.2299, 6)","(43.87678, 17)","(46.85199, 11)","(82.49437, 9)","(47.63336, 16)","(51.3148, 11)","(90.38317, 8)","(50.63862, 11)","(53.46356, 11)","(93.0879, 8)","(52.21638, 11)"
reppoints_moment_r50_fpn_2x_iodine_hsil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(12.99578, 16)","(26.60098, 11)","(12.23179, 15)","(15.97551, 16)","(33.09021, 16)","(14.40912, 15)","(17.33448, 16)","(35.94014, 16)","(15.34735, 16)","(18.42363, 16)","(38.3526, 16)","(16.12134, 16)","(19.25632, 16)","(40.30016, 16)","(16.58536, 16)","(19.62708, 16)","(41.07309, 16)","(16.77061, 16)","(21.23636, 16)","(29.44935, 17)","(34.31169, 17)","(39.10649, 16)","(45.31429, 16)","(50.75325, 16)","(27.41596, 16)","(49.67718, 16)","(26.53803, 16)","(30.71375, 16)","(53.34335, 16)","(31.48009, 17)","(39.40646, 17)","(68.67017, 16)","(40.19534, 17)","(44.22239, 17)","(75.95793, 17)","(45.07889, 17)","(48.20436, 16)","(82.11871, 16)","(49.21112, 16)","(53.41097, 16)","(90.60856, 16)","(54.24493, 16)","(57.07739, 16)","(97.44553, 8)","(58.30203, 16)"
retinanet_r50_fpn_2x_iodine_hsil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(12.99579, 16)","(25.52253, 16)","(12.25137, 17)","(16.0202, 16)","(32.45816, 16)","(14.42741, 17)","(17.3931, 16)","(35.7547, 16)","(15.33902, 17)","(18.5582, 16)","(38.34573, 16)","(16.00614, 16)","(19.24618, 16)","(40.01165, 16)","(16.33177, 17)","(19.60418, 16)","(40.77042, 16)","(16.49188, 17)","(20.87273, 16)","(28.92987, 16)","(33.7039, 16)","(39.33506, 16)","(44.69091, 16)","(53.28831, 9)","(27.19258, 16)","(48.95733, 8)","(26.08534, 17)","(30.18783, 16)","(51.61533, 10)","(30.80391, 17)","(38.5725, 16)","(66.64162, 12)","(38.54245, 16)","(43.10293, 16)","(74.53043, 12)","(43.426, 17)","(48.70023, 16)","(82.5695, 16)","(49.06086, 9)","(52.98272, 16)","(90.38317, 8)","(53.86927, 9)","(58.62509, 10)","(98.12171, 4)","(58.97821, 9)"
